Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z,Label
12:04:51,0.1,-0.14,0.99,-4.62,-2.45,7.21,Sitting
12:04:51,0.12,-0.15,1,-3.36,-0.35,9.8,Sitting
12:04:51,0.11,-0.18,0.98,9.31,2.31,13.51,Sitting
12:04:51,0.13,-0.15,1,6.65,0.84,11.97,Sitting
12:04:51,0.1,-0.17,0.98,4.13,0.35,9.38,Sitting
12:04:51,0.1,-0.17,0.98,6.72,0.42,8.61,Sitting
12:04:51,0.1,-0.15,0.98,7.91,0.91,8.75,Sitting
12:04:51,0.09,-0.13,1,4.27,-1.33,5.11,Sitting
12:04:51,0.11,-0.15,0.99,1.82,-1.61,1.89,Sitting
12:04:51,0.11,-0.17,0.97,2.66,-4.55,-0.63,Sitting
12:04:51,0.1,-0.19,0.98,10.01,-1.19,0.98,Sitting
12:04:51,0.1,-0.17,0.99,4.06,-3.85,-0.21,Sitting
12:04:51,0.08,-0.19,0.95,-4.2,-5.04,3.71,Sitting
12:04:51,0.07,-0.16,0.93,-8.82,-9.03,7.14,Sitting
12:04:51,0.1,-0.16,0.97,-16.03,-10.08,10.29,Sitting
12:04:51,0.13,-0.2,1.03,-8.4,-4.48,12.39,Sitting
12:04:51,0.11,-0.16,1.05,9.52,2.73,14.28,Sitting
12:04:51,0.11,-0.11,1.04,7.42,3.85,13.37,Sitting
12:04:51,0.11,-0.13,0.99,14.35,8.33,10.01,Sitting
12:04:51,0.13,-0.15,1,9.24,2.03,5.6,Sitting
12:04:51,0.1,-0.14,0.98,4.9,-1.96,3.43,Sitting
12:04:51,0.04,-0.08,0.96,-21.56,-2.87,5.74,Sitting
12:04:51,0.04,-0.12,0.96,-39.76,-1.05,7.42,Sitting
12:04:51,0.06,-0.16,0.94,-60.76,1.96,4.62,Sitting
12:04:51,0.06,-0.23,0.93,-84.77,5.39,3.5,Sitting
12:04:51,0.01,-0.27,0.99,-115.29,8.54,18.55,Sitting
12:04:51,0.02,-0.33,1.03,-132.23,19.39,35.28,Sitting
12:04:51,-0.01,-0.31,1,-126.98,26.74,56,Sitting
12:04:51,-0.04,-0.21,1.03,-128.45,21.56,70.7,Sitting
12:04:51,-0.18,-0.27,0.93,-158.62,19.46,93.94,Sitting
12:04:51,-0.26,-0.36,0.65,-226.52,-0.35,145.39,Sitting
12:04:51,-0.18,-0.14,0.62,-332.99,-19.88,170.66,Sitting
12:04:51,0.01,-0.45,1.05,-432.74,15.4,136.64,Sitting
12:04:51,0.06,-0.59,1.25,-408.87,57.12,91.35,Sitting
12:04:51,-0.11,-0.74,1.09,-297.15,81.69,50.61,Sitting
12:04:51,-0.18,-0.7,0.93,-225.82,96.25,55.93,Sitting
12:04:51,-0.26,-0.51,0.62,-194.74,69.37,68.53,Sitting
12:04:51,-0.16,-0.31,0.51,-154.91,25.13,47.32,Sitting
12:04:51,-0.12,-0.25,0.77,-133.28,7.35,6.86,Sitting
12:04:51,-0.26,-0.5,0.95,-137.9,18.34,0.21,Sitting
12:04:51,-0.28,-0.93,0.94,-119.14,55.09,35.49,Sitting
12:04:51,-0.3,-0.96,0.84,-55.58,70.07,59.01,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-1.89,0.77,Sitting
12:04:51,0.42,-0.75,0.52,0.49,-1.89,0.77,Sitting
12:04:51,0.42,-0.75,0.52,0.28,-1.68,0.77,Sitting
12:04:51,0.42,-0.75,0.52,0.28,-1.54,0.77,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-1.33,0.63,Sitting
12:04:51,0.42,-0.75,0.53,0.77,-0.91,0.63,Sitting
12:04:51,0.42,-0.75,0.53,0.91,-0.56,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-0.49,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.49,-0.35,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.56,-0.35,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0.63,-0.14,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0.91,-0.14,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.98,0.07,0.35,Sitting
12:04:51,0.42,-0.75,0.52,1.12,-0.07,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.91,0,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.98,-0.14,0.28,Sitting
12:04:51,0.41,-0.75,0.52,0.77,-0.07,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0.56,-0.35,0.35,Sitting
12:04:51,0.41,-0.75,0.52,0.21,-0.42,0.42,Sitting
12:04:51,0.41,-0.75,0.52,0.07,-0.7,0.42,Sitting
12:04:51,0.41,-0.75,0.52,-0.07,-0.84,0.42,Sitting
12:04:51,0.42,-0.76,0.53,-0.14,-0.98,0.49,Sitting
12:04:51,0.42,-0.76,0.52,-0.35,-1.05,0.21,Sitting
12:04:51,0.42,-0.76,0.52,-0.42,-1.05,0.21,Sitting
12:04:51,0.42,-0.76,0.51,-0.49,-1.68,1.47,Sitting
12:04:51,0.41,-0.76,0.52,-0.63,-1.05,0.28,Sitting
12:04:51,0.42,-0.75,0.52,-0.28,-1.61,0.42,Sitting
12:04:51,0.42,-0.75,0.52,-0.28,-1.54,0.7,Sitting
12:04:51,0.42,-0.76,0.52,-0.07,-1.61,0.49,Sitting
12:04:51,0.42,-0.76,0.52,0.07,-1.4,0.42,Sitting
12:04:51,0.43,-0.76,0.52,0.21,-1.26,0.35,Sitting
12:04:51,0.42,-0.76,0.51,0.07,-1.26,0.35,Sitting
12:04:51,0.42,-0.75,0.51,0,-1.47,0.63,Sitting
12:04:51,0.42,-0.75,0.51,-0.07,-1.68,0.7,Sitting
12:04:51,0.42,-0.75,0.52,0.14,-1.75,0.7,Sitting
12:04:51,0.42,-0.75,0.52,0.49,-1.47,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-1.4,0.42,Sitting
12:04:51,0.42,-0.76,0.52,0.77,-1.33,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.77,-1.33,0.56,Sitting
12:04:51,0.42,-0.76,0.52,0.84,-1.26,0.63,Sitting
12:04:51,0.42,-0.76,0.52,0.84,-1.33,0.49,Sitting
12:04:51,0.42,-0.76,0.52,0.98,-1.12,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.84,-0.98,0.63,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-1.19,0.7,Sitting
12:04:51,0.42,-0.75,0.52,-0.14,-0.77,0.35,Sitting
12:04:51,0.42,-0.75,0.52,-0.28,-0.84,0.35,Sitting
12:04:51,0.42,-0.75,0.52,-0.42,-0.7,0.56,Sitting
12:04:51,0.42,-0.75,0.53,-0.14,-0.49,0.56,Sitting
12:04:51,0.42,-0.75,0.53,0.14,-0.42,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-0.49,0.28,Sitting
12:04:51,0.42,-0.75,0.52,0.63,-0.35,0.35,Sitting
12:04:51,0.41,-0.75,0.52,0.7,-0.21,0.35,Sitting
12:04:51,0.41,-0.76,0.52,0.63,-0.35,0.49,Sitting
12:04:51,0.42,-0.76,0.52,0.49,-0.7,0.56,Sitting
12:04:51,0.41,-0.75,0.52,0.07,-0.91,0.7,Sitting
12:04:51,0.42,-0.75,0.52,-0.28,-1.12,0.56,Sitting
12:04:51,0.42,-0.75,0.52,-0.35,-1.33,0.63,Sitting
12:04:51,0.42,-0.75,0.52,-0.28,-1.47,0.49,Sitting
12:04:51,0.42,-0.76,0.51,-0.42,-1.47,0.35,Sitting
12:04:51,0.42,-0.75,0.51,-0.49,-1.61,0.35,Sitting
12:04:51,0.42,-0.75,0.51,-0.56,-1.68,0.63,Sitting
12:04:51,0.42,-0.76,0.51,-0.56,-1.68,0.56,Sitting
12:04:51,0.42,-0.76,0.51,-0.28,-1.68,0.56,Sitting
12:04:51,0.42,-0.76,0.52,-0.21,-1.61,0.42,Sitting
12:04:51,0.42,-0.76,0.51,-0.21,-1.47,0.28,Sitting
12:04:51,0.42,-0.76,0.51,-0.14,-1.61,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.21,-1.47,0.63,Sitting
12:04:51,0.42,-0.75,0.52,0.63,-1.12,0.49,Sitting
12:04:51,0.42,-0.75,0.52,0.77,-1.05,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.91,-1.05,0.49,Sitting
12:04:51,0.42,-0.75,0.52,1.05,-0.91,0.35,Sitting
12:04:51,0.42,-0.75,0.53,1.4,-0.84,0.42,Sitting
12:04:51,0.43,-0.75,0.52,1.47,-0.77,0.49,Sitting
12:04:51,0.42,-0.75,0.52,1.33,-0.77,0.49,Sitting
12:04:51,0.42,-0.75,0.51,0.98,-1.12,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.49,-1.33,0.7,Sitting
12:04:51,0.42,-0.75,0.52,0.28,-1.54,0.63,Sitting
12:04:51,0.42,-0.75,0.52,-0.07,-1.4,0.49,Sitting
12:04:51,0.42,-0.75,0.52,-0.21,-1.4,0.28,Sitting
12:04:51,0.42,-0.75,0.52,-0.42,-1.4,0.28,Sitting
12:04:51,0.42,-0.75,0.52,-0.49,-1.54,0.14,Sitting
12:04:51,0.42,-0.75,0.52,-0.56,-1.4,0.28,Sitting
12:04:51,0.42,-0.75,0.52,-0.49,-1.33,0.35,Sitting
12:04:51,0.42,-0.75,0.52,-0.21,-1.33,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0,-1.19,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.21,-0.91,0.42,Sitting
12:04:51,0.42,-0.76,0.52,0.21,-0.7,0.35,Sitting
12:04:51,0.42,-0.76,0.52,0.28,-0.7,0.42,Sitting
12:04:51,0.42,-0.76,0.51,-0.63,-1.96,0.49,Sitting
12:04:51,0.42,-0.76,0.52,-0.49,-1.89,0.42,Sitting
12:04:51,0.42,-0.76,0.52,-0.14,-1.54,0.42,Sitting
12:04:51,0.42,-0.76,0.52,0.21,-1.61,0.49,Sitting
12:04:51,0.42,-0.76,0.52,0.28,-1.4,0.49,Sitting
12:04:51,0.42,-0.76,0.51,0.21,-1.19,0.42,Sitting
