aX,aY,aZ
-0.185,-0.534,1.315
-0.191,-0.548,1.317
-0.189,-0.586,1.313
-0.186,-0.605,1.302
-0.183,-0.638,1.298
-0.185,-0.654,1.301
-0.196,-0.677,1.308
-0.2,-0.685,1.321
-0.2,-0.701,1.329
-0.199,-0.717,1.331
-0.196,-0.726,1.329
-0.194,-0.737,1.324
-0.195,-0.737,1.324
-0.191,-0.736,1.322
-0.184,-0.732,1.32
-0.168,-0.718,1.316
-0.164,-0.694,1.298
-0.156,-0.682,1.288
-0.147,-0.658,1.267
-0.135,-0.643,1.13
-0.114,-0.608,1.229
-0.106,-0.59,1.198
-0.093,-0.551,1.18
-0.087,-0.533,1.14
-0.072,-0.502,1.122
-0.068,-0.478,1.083
-0.069,-0.471,1.068
-0.073,-0.451,1.047
-0.088,-0.443,1.038
-0.105,-0.424,1.037
-0.112,-0.415,1.035
-0.123,-0.391,1.03
-0.126,-0.254,1.016
-0.124,-0.352,1.002
-0.122,-0.317,0.97
-0.12,-0.3,0.949
-0.116,-0.262,0.9
-0.116,-0.246,0.849
-0.115,-0.202,0.826
-0.116,-0.18,0.786
-0.122,-0.143,0.768
-0.128,-0.116,0.737
-0.154,-0.102,0.727
-0.166,-0.071,0.717
-0.189,-0.055,0.718
-0.199,-0.024,0.73
-0.199,-0.011,0.73
-0.196,0.016,0.721
-0.2,0.034,0.691
-0.206,0.055,0.667
-0.209,0.061,0.612
-0.214,0.08,0.591
-0.217,0.102,0.554
-0.235,0.108,0.541
-0.246,0.116,0.524
-0.267,0.12,0.521
-0.274,0.128,0.52
-0.285,0.128,0.517
-0.289,0.125,0.507
-0.293,0.124,0.481
-0.294,0.119,0.464
-0.294,0.12,0.414
-0.288,0.123,0.386
-0.286,0.131,0.317
-0.277,0.146,0.281
-0.272,0.155,0.222
-0.261,0.194,0.203
-0.254,0.219,0.182
-0.241,0.265,0.174
-0.231,0.316,0.175
-0.231,0.323,0.173
-0.25,0.34,0.174
-0.257,0.342,0.198
-0.278,0.348,0.211
