aX,aY,aZ
0.074,-1.383,0.577
0.089,-1.398,0.578
0.111,-1.46,0.585
0.154,-1.495,0.58
0.167,-1.528,0.584
0.194,-1.54,0.59
0.209,-1.559,0.598
0.234,-1.573,0.59
0.245,-1.589,0.575
0.245,-1.593,0.534
0.231,-1.593,0.516
0.222,-1.581,0.479
0.197,-1.572,0.462
0.185,-1.546,0.415
0.13,-1.525,0.358
0.064,-1.47,0.329
0.026,-1.435,0.263
-0.055,-1.357,0.23
-0.087,-1.27,0.171
-0.148,-1.224,0.146
-0.176,-1.115,0.103
-0.221,-1.059,0.095
-0.234,-0.936,0.111
-0.235,-0.87,0.146
-0.218,-0.726,0.173
-0.209,-0.577,0.23
-0.179,-0.492,0.261
-0.149,-0.338,0.303
-0.13,-0.27,0.356
-0.069,-0.144,0.391
-0.041,-0.087,0.467
0.01,0.031,0.506
0.038,0.142,0.571
0.039,0.201,0.602
0.071,0.307,0.658
-0.004,0.383,0.559
-0.022,0.479,0.426
-0.069,0.561,0.424
-0.136,0.758,0.236
-0.285,0.854,0.024
-0.352,0.984,-0.024
-0.344,1.03,-0.038
-0.283,1.169,-0.01
-0.251,1.264,0.061
-0.22,1.482,0.102
-0.204,1.714,0.183
-0.158,1.841,0.225
-0.129,2.064,0.313
-0.054,2.167,0.356
-0.011,2.339,0.422
0.073,2.407,0.433
0.128,2.479,0.468
0.26,2.513,0.483
0.33,2.589,0.511
0.457,2.628,0.526
0.511,2.714,0.589
0.589,2.758,0.628
0.622,2.831,0.739
0.692,2.854,0.807
0.725,2.875,0.956
0.785,2.878,1.029
0.807,2.863,1.137
0.832,2.843,1.216
0.844,2.77,1.241
0.84,2.723,1.254
0.822,2.614,1.26
0.802,2.552,1.247
0.745,2.409,1.232
0.717,2.329,1.193
0.644,2.169,1.164
0.605,2.092,1.104
0.531,1.942,1.075
0.501,1.858,1.018
0.453,1.702,0.991
0.429,1.627,0.946
0.373,1.514,0.928
0.345,1.432,0.902
0.291,1.401,0.894
0.264,1.253,0.892
0.223,1.333,0.893
0.204,1.309,0.897
0.167,1.292,0.899
0.151,1.274,0.903
0.128,1.239,0.903
0.119,1.196,0.907
0.109,1.178,0.905
0.105,1.127,0.903
0.093,1.099,0.901
0.085,1.075,0.88
0.072,1.024,0.869
0.065,0.996,0.845
0.05,0.947,0.829
0.049,0.893,0.816
0.045,0.871,0.811
0.044,0.843,0.789
0.047,0.829,0.788
0.045,0.803,0.783
0.042,0.795,0.783
0.051,0.743,0.775
0.064,0.728,0.787
0.066,0.722,0.801
0.066,0.716,0.79
0.072,0.697,0.76
0.085,0.679,0.766
0.09,0.646,0.793
0.11,0.634,0.807
0.123,0.614,0.838
0.16,0.608,0.854
0.175,0.586,0.882
0.201,0.576,0.898
0.213,0.555,0.922
0.231,0.543,0.948
0.251,0.514,0.963
0.261,0.501,0.989
0.272,0.472,1.002
0.289,0.462,1.012
0.294,0.441,1.027
0.304,0.429,1.033
0.307,0.413,1.044
0.307,-1.178,0.549
0.301,-1.234,0.559
0.294,-1.28,0.597
0.287,-1.302,0.636
0.286,-1.359,0.655
0.28,-1.383,0.694
0.262,-1.42,0.708
0.251,-1.437,0.727
0.228,-1.478,0.734
0.211,-1.495,0.755
0.182,-1.519,0.767
0.166,-1.525,0.794
0.138,-1.541,0.806
0.126,-1.549,0.826
0.096,-1.551,0.833
0.089,-1.544,0.821
0.081,-1.542,0.812
0.074,-1.542,0.809
0.058,-1.545,0.821
0.068,-1.554,0.829
0.075,-1.555,0.849
0.099,-1.559,0.869
0.105,-1.549,0.92
0.106,-1.496,0.95
0.105,-1.465,1.012
0.083,-1.392,1.03
0.081,-1.325,1.069
0.086,-1.288,1.091
0.085,-1.212,1.116
0.074,-1.18,1.245
0.075,-1.124,1.133
0.089,-1.1,1.116
0.096,-1.058,1.098
0.098,-1.038,1.052
0.101,-1.006,1.031
0.104,-0.987,0.991
0.104,-0.94,0.973
0.102,-0.911,0.933
0.098,-0.854,0.913
0.101,-0.827,0.88
0.112,-0.769,0.865
0.121,-0.716,0.87
0.137,-0.679,0.87
0.134,-0.59,0.849
0.139,-0.561,0.959
0.094,-0.488,0.877
0.094,-0.476,0.841
0.181,-0.418,0.943
0.199,-0.313,1.003
0.197,-0.28,1.002
0.2,-0.204,1.022
0.18,-0.175,0.994
0.172,-0.118,0.995
0.166,-0.086,0.987
0.143,-0.018,0.97
0.124,0.02,0.904
0.076,0.093,0.874
0.046,0.132,0.798
-0.013,0.203,0.752
-0.048,0.232,0.645
-0.131,0.293,0.583
-0.171,0.362,0.492
-0.251,0.396,0.454
-0.29,0.474,0.385
-0.355,0.512,0.365
-0.375,0.607,0.354
-0.407,0.665,0.346
-0.439,0.807,0.339
-0.45,0.883,0.336
-0.451,1.022,0.337
-0.433,1.083,0.349
-0.381,1.199,0.35
-0.354,1.254,0.321
-0.309,1.375,0.293
-0.285,1.505,0.213
-0.239,1.574,0.165
-0.212,1.719,0.067
-0.144,1.784,0.025
-0.099,1.866,-0.029
-0.004,1.897,-0.049
0.079,1.958,-0.05
0.107,1.992,-0.041
0.143,2.089,-0.038
0.157,2.157,-0.031
0.204,2.308,-0.029
0.252,2.429,-0.019
0.402,2.464,0
0.488,2.489,0.077
0.652,2.485,0.131
0.725,2.47,0.259
0.853,2.457,0.326
0.912,2.408,0.452
1.028,2.38,0.515
1.081,2.318,0.628
1.164,2.287,0.674
1.204,2.227,0.749
1.208,2.189,0.788
1.187,2.113,0.797
1.165,2.082,0.81
